# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
10	textures\enemies.png	3	26	110
20	textures\misc.png	176	224	248
30	textures\tiles.png	255	128	192
40	textures\tiles2.png	4	193	170
50	textures\enemies-2.png	0	128	128
60	textures\enemies-3.png	255	255	255
70	textures\map1-1.png	156	252	240
90	textures\HUD.png	0	224	142
80	textures\black.png	255	255	255
100	textures\flower.png	0	255	255
110	textures\misc2.png	166	185	255
120	textures\new_mario_left.png	67	145	190
130	textures\new_mario_right.png	67	145	190
140	textures\special_item.png	0	183	239
150	textures\special_item.png	0	0	0


# id	left	top	right	bottom	texture_id
[SPRITES]
#Ghost
700001	257	373	273	389	140
700002	297	373	313	389	140
700003	441	386	457	402	140

#background black
1	1090	445	1900	655	70	
#Mario hàng 1
1001	6	0	30	16	0
1002	36	0	49	16	0
1003	67	0	79	15	0
1004	95	0	111	16	0
1005	125	0	140	16	0
1006	155	0	171	16	0
1007	187	0	199	15	0
1008	216	0	230	15	0
1009	247	0	259	15	0
1010	275	0	291	16	0
1011	306	0	321	16	0
1012	335	0	351	16	0
1013	367	0	379	15	0
1014	397	0	410	1	0
1015	426	0	440	16	0
#Gạch xanh nước biển
1016	290	188	306	204	30
#Cống đen
1017	126	379	140	394	40
1018	142	379	157	394	40
1019	193	379	207	394	40
1020	209	379	224	394	40
#P
1021	156	144	172	160	110
1022	200	153	216	160	110
#Gạch sau khi bể
1023	235	188	251	204	110
#Gạch ani bể
1024	484	120	492	128	20
#Card
1025	437	349	459	371	140
1026	381	349	403	371	140
1027	409	349	431	371	140
#Chữ end
1028	119	260	145	286	150
1029	4	348	252	421	150
#Item end
1030	338	394	360	420	140
1031	362	394	384	420	140
1032	314	394	336	420	140
#Mario hàng 2
2001	5	40	6	41	0
2002	35	40	51	56	0
2003	65	40	81	56	0
2004	96	40	110	56	0
2005	125	40	141	55	0
2006	155	40	171	56	0
2007	186	40	200	55	0
2008	216	40	230	55	0
2009	246	40	260	55	0
2010	275	40	291	56	0
2011	305	40	321	55	0
2012	36	40	50	56	0
2013	65	40	81	56	0
